,date_creation,count
951,2016-01-01,27
952,2017-01-01,349
953,2017-01-01,349
954,2017-01-01,349
955,2017-01-01,349
956,2017-01-01,349
957,2017-01-01,349
958,2017-01-01,349
959,2017-01-01,349
960,2017-01-01,349
961,2017-01-01,349
962,2017-01-01,349
963,2017-01-01,349
964,2017-01-01,349
965,2017-01-01,349
966,2016-01-01,27
967,2017-01-01,349
968,2017-01-01,349
969,2017-01-01,349
970,2017-01-01,349
971,2017-01-01,349
972,2017-01-01,349
973,2017-01-01,349
974,2017-01-01,349
975,2017-01-01,349
976,2017-01-01,349
977,2017-01-01,349
978,2017-01-01,349
979,2016-01-01,27
980,2016-01-01,27
